"INSEE";"REG";"COM";"PTOT"
"01001";"Auvergne-Rhône-Alpes";"L'Abergement-Clémenciat";821
"01002";"Auvergne-Rhône-Alpes";"L'Abergement-de-Varey";268
"01004";"Auvergne-Rhône-Alpes";"Ambérieu-en-Bugey";14662
"01005";"Auvergne-Rhône-Alpes";"Ambérieux-en-Dombes";1806
"01006";"Auvergne-Rhône-Alpes";"Ambléon";113
"01007";"Auvergne-Rhône-Alpes";"Ambronay";2946
"01008";"Auvergne-Rhône-Alpes";"Ambutrix";781
"01009";"Auvergne-Rhône-Alpes";"Andert-et-Condon";332
"01010";"Auvergne-Rhône-Alpes";"Anglefort";1116
"01011";"Auvergne-Rhône-Alpes";"Apremont";379
"01012";"Auvergne-Rhône-Alpes";NA;330
"01013";"Auvergne-Rhône-Alpes";"Arandas";147
"01014";"Auvergne-Rhône-Alpes";"Arbent";3427
"01015";"Auvergne-Rhône-Alpes";"Arboys en Bugey";678
"01016";"Auvergne-Rhône-Alpes";"Arbigny";467
"01017";"Auvergne-Rhône-Alpes";"Argis";456
"01019";"Auvergne-Rhône-Alpes";"Armix";30
"01021";"Auvergne-Rhône-Alpes";"Ars-sur-Formans";1520
"01022";"Auvergne-Rhône-Alpes";"Artemare";1229
"01023";"Auvergne-Rhône-Alpes";"Asnières-sur-Saône";76
"01024";"Auvergne-Rhône-Alpes";"Attignat";3365
"01025";"Auvergne-Rhône-Alpes";"Bâgé-Dommartin";4172
"01026";"Auvergne-Rhône-Alpes";"Bâgé-le-Châtel";1045
"01027";"Auvergne-Rhône-Alpes";"Balan";2699
"01028";"Auvergne-Rhône-Alpes";"Baneins";642
"01029";"Auvergne-Rhône-Alpes";"Beaupont";691
"01030";"Auvergne-Rhône-Alpes";"Beauregard";836
"01031";"Auvergne-Rhône-Alpes";"Bellignat";3905
"01032";"Auvergne-Rhône-Alpes";"Béligneux";3443
"01033";"Auvergne-Rhône-Alpes";"Valserhône";16770
"01034";"Auvergne-Rhône-Alpes";"Belley";9550
"01035";"Auvergne-Rhône-Alpes";"Belleydoux";316
"01036";"Auvergne-Rhône-Alpes";"Valromey-sur-Séran";1358
"01037";"Auvergne-Rhône-Alpes";"Bénonces";312
"01038";"Auvergne-Rhône-Alpes";"Bény";778
"01039";"Auvergne-Rhône-Alpes";"Béon";446
"01040";"Auvergne-Rhône-Alpes";"Béréziat";490
"01041";"Auvergne-Rhône-Alpes";"Bettant";768
"01042";"Auvergne-Rhône-Alpes";"Bey";298
"01043";"Auvergne-Rhône-Alpes";"Beynost";4943
"01044";"Auvergne-Rhône-Alpes";"Billiat";645
"01045";"Auvergne-Rhône-Alpes";"Birieux";288
"01046";"Auvergne-Rhône-Alpes";"Biziat";920
"01047";"Auvergne-Rhône-Alpes";"Blyes";1303
"01049";"Auvergne-Rhône-Alpes";"La Boisse";3412
"01050";"Auvergne-Rhône-Alpes";"Boissey";384
"01051";"Auvergne-Rhône-Alpes";"Bolozon";92
"01052";"Auvergne-Rhône-Alpes";"Bouligneux";338
"01053";"Auvergne-Rhône-Alpes";"Bourg-en-Bresse";43363
"01054";"Auvergne-Rhône-Alpes";"Bourg-Saint-Christophe";1517
"01056";"Auvergne-Rhône-Alpes";"Boyeux-Saint-Jérôme";355
"01057";"Auvergne-Rhône-Alpes";"Boz";530
"01058";"Auvergne-Rhône-Alpes";"Brégnier-Cordon";838
"01060";"Auvergne-Rhône-Alpes";"Brénod";505
"01061";"Auvergne-Rhône-Alpes";"Brens";1166
"01062";"Auvergne-Rhône-Alpes";"Bressolles";974
"01063";"Auvergne-Rhône-Alpes";"Brion";577
"01064";"Auvergne-Rhône-Alpes";"Briord";1114
"01065";"Auvergne-Rhône-Alpes";"Buellas";1889
"01066";"Auvergne-Rhône-Alpes";"La Burbanche";93
"01067";"Auvergne-Rhône-Alpes";"Ceignes";271
"01068";"Auvergne-Rhône-Alpes";"Cerdon";788
"01069";"Auvergne-Rhône-Alpes";"Certines";1553
"01071";"Auvergne-Rhône-Alpes";"Cessy";5168
"01072";"Auvergne-Rhône-Alpes";"Ceyzériat";3265
"01073";"Auvergne-Rhône-Alpes";"Ceyzérieu";1020
"01074";"Auvergne-Rhône-Alpes";"Chalamont";2612
"01075";"Auvergne-Rhône-Alpes";"Chaleins";1433
"01076";"Auvergne-Rhône-Alpes";"Chaley";125
"01077";"Auvergne-Rhône-Alpes";"Challes-la-Montagne";194
"01078";"Auvergne-Rhône-Alpes";"Challex";1631
"01079";"Auvergne-Rhône-Alpes";"Champagne-en-Valromey";852
"01080";"Auvergne-Rhône-Alpes";"Champdor-Corcelles";652
"01081";"Auvergne-Rhône-Alpes";"Champfromier";747
"01082";"Auvergne-Rhône-Alpes";"Chanay";652
"01083";"Auvergne-Rhône-Alpes";"Chaneins";982
"01084";"Auvergne-Rhône-Alpes";"Chanoz-Châtenay";940
"01085";"Auvergne-Rhône-Alpes";"La Chapelle-du-Châtelard";403
"01087";"Auvergne-Rhône-Alpes";"Charix";289
"01088";"Auvergne-Rhône-Alpes";"Charnoz-sur-Ain";930
"01089";"Auvergne-Rhône-Alpes";"Château-Gaillard";2303
"01090";"Auvergne-Rhône-Alpes";"Châtenay";367
"01092";"Auvergne-Rhône-Alpes";"Châtillon-la-Palud";1682
"01093";"Auvergne-Rhône-Alpes";"Châtillon-sur-Chalaronne";5171
"01094";"Auvergne-Rhône-Alpes";"Chavannes-sur-Reyssouze";773
"01095";"Auvergne-Rhône-Alpes";"Nivigne et Suran";861
"01096";"Auvergne-Rhône-Alpes";"Chaveyriat";1063
"01098";"Auvergne-Rhône-Alpes";"Chazey-Bons";1213
"01099";"Auvergne-Rhône-Alpes";"Chazey-sur-Ain";1650
"01100";"Auvergne-Rhône-Alpes";"Cheignieu-la-Balme";135
"01101";"Auvergne-Rhône-Alpes";"Chevillard";159
"01102";"Auvergne-Rhône-Alpes";"Chevroux";981
"01103";"Auvergne-Rhône-Alpes";"Chevry";2276
"01104";"Auvergne-Rhône-Alpes";"Chézery-Forens";464
"01105";"Auvergne-Rhône-Alpes";"Civrieux";1919
"01106";"Auvergne-Rhône-Alpes";"Cize";185
"01107";"Auvergne-Rhône-Alpes";"Cleyzieu";140
"01108";"Auvergne-Rhône-Alpes";"Coligny";1185
"01109";"Auvergne-Rhône-Alpes";"Collonges";2276
"01110";"Auvergne-Rhône-Alpes";"Colomieu";161
"01111";"Auvergne-Rhône-Alpes";"Conand";135
"01112";"Auvergne-Rhône-Alpes";"Condamine";473
"01113";"Auvergne-Rhône-Alpes";"Condeissiat";829
"01114";"Auvergne-Rhône-Alpes";"Confort";704
"01115";"Auvergne-Rhône-Alpes";"Confrançon";1370
"01116";"Auvergne-Rhône-Alpes";"Contrevoz";510
"01117";"Auvergne-Rhône-Alpes";"Conzieu";151
"01118";"Auvergne-Rhône-Alpes";"Corbonod";1306
"01121";"Auvergne-Rhône-Alpes";"Corlier";117
"01123";"Auvergne-Rhône-Alpes";"Cormoranche-sur-Saône";1195
"01124";"Auvergne-Rhône-Alpes";"Cormoz";710
"01125";"Auvergne-Rhône-Alpes";"Corveissiat";617
"01127";"Auvergne-Rhône-Alpes";"Courmangoux";514
"01128";"Auvergne-Rhône-Alpes";"Courtes";302
"01129";"Auvergne-Rhône-Alpes";"Crans";308
"01130";"Auvergne-Rhône-Alpes";"Bresse Vallons";2406
"01133";"Auvergne-Rhône-Alpes";"Cressin-Rochefort";400
"01134";"Auvergne-Rhône-Alpes";"Crottet";1836
"01135";"Auvergne-Rhône-Alpes";"Crozet";2269
"01136";"Auvergne-Rhône-Alpes";"Cruzilles-lès-Mépillat";943
"01138";"Auvergne-Rhône-Alpes";"Culoz";3048
"01139";"Auvergne-Rhône-Alpes";"Curciat-Dongalon";449
"01140";"Auvergne-Rhône-Alpes";"Curtafond";783
"01141";"Auvergne-Rhône-Alpes";"Cuzieu";449
"01142";"Auvergne-Rhône-Alpes";"Dagneux";4819
"01143";"Auvergne-Rhône-Alpes";"Divonne-les-Bains";10239
"01145";"Auvergne-Rhône-Alpes";"Dompierre-sur-Veyle";1214
"01146";"Auvergne-Rhône-Alpes";"Dompierre-sur-Chalaronne";439
"01147";"Auvergne-Rhône-Alpes";"Domsure";512
"01148";"Auvergne-Rhône-Alpes";"Dortan";1939
"01149";"Auvergne-Rhône-Alpes";"Douvres";1123
"01150";"Auvergne-Rhône-Alpes";"Drom";219
"01151";"Auvergne-Rhône-Alpes";"Druillat";1168
"01152";"Auvergne-Rhône-Alpes";"Échallon";781
"01153";"Auvergne-Rhône-Alpes";"Échenevex";2198
"01155";"Auvergne-Rhône-Alpes";"Évosges";147
"01156";"Auvergne-Rhône-Alpes";"Faramans";855
"01157";"Auvergne-Rhône-Alpes";"Fareins";2392
"01158";"Auvergne-Rhône-Alpes";"Farges";1072
"01159";"Auvergne-Rhône-Alpes";"Feillens";3438
"01160";"Auvergne-Rhône-Alpes";"Ferney-Voltaire";10784
"01162";"Auvergne-Rhône-Alpes";"Flaxieu";68
"01163";"Auvergne-Rhône-Alpes";"Foissiat";2050
"01165";"Auvergne-Rhône-Alpes";"Francheleins";1619
"01166";"Auvergne-Rhône-Alpes";"Frans";2453
"01167";"Auvergne-Rhône-Alpes";"Garnerans";681
"01169";"Auvergne-Rhône-Alpes";"Genouilleux";674
"01170";"Auvergne-Rhône-Alpes";"Béard-Géovreissiat";1071
"01171";"Auvergne-Rhône-Alpes";"Géovreisset";871
"01173";"Auvergne-Rhône-Alpes";"Gex";13467
"01174";"Auvergne-Rhône-Alpes";"Giron";178
"01175";"Auvergne-Rhône-Alpes";"Gorrevod";813
"01177";"Auvergne-Rhône-Alpes";"Grand-Corent";189
"01179";"Auvergne-Rhône-Alpes";"Grièges";1936
"01180";"Auvergne-Rhône-Alpes";"Grilly";862
"01181";"Auvergne-Rhône-Alpes";"Groissiat";1291
"01183";"Auvergne-Rhône-Alpes";"Guéreins";1516
"01184";"Auvergne-Rhône-Alpes";"Hautecourt-Romanèche";784
"01185";"Auvergne-Rhône-Alpes";"Plateau d'Hauteville";4981
"01187";"Auvergne-Rhône-Alpes";"Haut Valromey";634
"01188";"Auvergne-Rhône-Alpes";"Illiat";702
"01189";"Auvergne-Rhône-Alpes";"Injoux-Génissiat";1150
"01190";"Auvergne-Rhône-Alpes";"Innimond";87
"01191";"Auvergne-Rhône-Alpes";"Izenave";156
"01192";"Auvergne-Rhône-Alpes";"Izernore";2327
"01193";"Auvergne-Rhône-Alpes";"Izieu";226
"01194";"Auvergne-Rhône-Alpes";"Jassans-Riottier";6430
"01195";"Auvergne-Rhône-Alpes";"Jasseron";1861
"01196";"Auvergne-Rhône-Alpes";"Jayat";1261
"01197";"Auvergne-Rhône-Alpes";"Journans";391
"01198";"Auvergne-Rhône-Alpes";"Joyeux";269
"01199";"Auvergne-Rhône-Alpes";"Jujurieux";2173
"01200";"Auvergne-Rhône-Alpes";"Labalme";218
"01202";"Auvergne-Rhône-Alpes";"Lagnieu";7340
"01203";"Auvergne-Rhône-Alpes";"Laiz";1336
"01204";"Auvergne-Rhône-Alpes";"Le Poizat-Lalleyriat";762
"01206";"Auvergne-Rhône-Alpes";"Lantenay";280
"01207";"Auvergne-Rhône-Alpes";"Lapeyrouse";326
"01208";"Auvergne-Rhône-Alpes";"Lavours";136
"01209";"Auvergne-Rhône-Alpes";"Léaz";812
"01210";"Auvergne-Rhône-Alpes";"Lélex";235
"01211";"Auvergne-Rhône-Alpes";"Lent";1436
"01212";"Auvergne-Rhône-Alpes";"Lescheroux";720
"01213";"Auvergne-Rhône-Alpes";"Leyment";1361
"01214";"Auvergne-Rhône-Alpes";"Leyssard";166
"01215";"Auvergne-Rhône-Alpes";"Surjoux-Lhopital";145
"01216";"Auvergne-Rhône-Alpes";"Lhuis";914
"01219";"Auvergne-Rhône-Alpes";"Lompnas";166
"01224";"Auvergne-Rhône-Alpes";"Loyettes";3324
"01225";"Auvergne-Rhône-Alpes";"Lurcy";398
"01227";"Auvergne-Rhône-Alpes";"Magnieu";654
"01228";"Auvergne-Rhône-Alpes";"Maillat";682
"01229";"Auvergne-Rhône-Alpes";"Malafretaz";1248
"01230";"Auvergne-Rhône-Alpes";"Mantenay-Montlin";317
"01231";"Auvergne-Rhône-Alpes";"Manziat";1997
"01232";"Auvergne-Rhône-Alpes";"Marboz";2319
"01233";"Auvergne-Rhône-Alpes";"Marchamp";132
