"INSEE";"Appellation courante";"Date de protection";"Statut"
"01001";"Site médiéval du Vieux Bourg";"1994";"propriété privée"
"01004";"castrum de Saint-Germain";"2017";"propriété de la commune ; propriété privée"
"01004";"Château des Allymes";"1960";"propriété privée ; propriété de la commune"
"01004";"Maison-forte de Saint-Germain dite Tour de Gy";"1984";"propriété privée"
"01005";"Château (ancien)";"1905";"propriété de la commune"
"01007";"Bastide de Gironville dite Fort Sarrazin";"1993";"propriété de la commune"
"01007";"Ancienne abbaye d'Ambronay";"1889";"propriété de la commune ; propriété privée"
"01009";"Château d'Andert";"1990";"propriété privée"
"01010";"Château (ancien)";"1974";"propriété privée"
"01014";"Eglise Saint-Laurent";"1988";"propriété de la commune"
"01021";"Presbytère du curé d'Ars (ancien)";"1966";"propriété d'une société privée"
"01021";"Eglise (ancienne) et basilique";"1982";"propriété de la commune"
"01025";"Chapelle d'Epaisse (ancienne)";"1982";"propriété privée"
"01026";"Hôpital-Hospice (ancien)";"1980";"propriété d'un établissement public"
"01026";"Enceinte (ancienne)";"1929";"propriété privée"
"01029";"Ferme de Bevay";"1944";"propriété privée"
"01030";"Eglise Saint-François d'Assise";"1996";"propriété de la commune"
"01033";"Monument aux morts";"2019";"propriété de la commune"
"01034";"Cathédrale Saint-Jean-Baptiste";"1906";"propriété de l'Etat"
"01034";"Place de la cathédrale Saint-Jean";"1944";"propriété de l'Etat"
"01034";"Evêché (ancien)";"1932";"propriété de la commune"
"01034";"Petit Séminaire";"1846";"propriété de la commune"
"01034";"Maison du Vachat ou maison du Gouverneur";"1973";"propriété privée"
"01034";"Hôtel de Province du Bugey (ancien)";"1944";"propriété privée"
"01034";"Maison May et ancien oratoire";"1971";"propriété privée"
"01034";"Hôtel de ville (ancien)";"1944";"propriété de la commune"
"01034";"Hôtel des Ducs de Savoie (ancien)";"1926";"propriété d'une société privée"
"01034";"Lycée Lamartine (anciennement collège de Belley)";"1981";"propriété de la commune"
"01034";"Hôtel Brillat-Savarin";"1926";"propriété privée"
"01036";"Eglise de Luthézieu";"1975";"propriété de la commune"
"01037";"Chartreuse Sainte-Marie-des-Portes";"1947";"propriété privée"
"01038";"Manoir dit de Marmont";"1992";"propriété privée"
"01042";"Eglise";"1945";"propriété de la commune"
"01046";"Eglise";"1947";"propriété de la commune"
"01050";"Ferme";"1936";"propriété privée"
"01052";"Château";"1926";"propriété privée"
"01052";"Eglise Saint-Marcel";"2008";"propriété de la commune"
"01053";"Moulin de Crève-Coeur";"2005";"propriété privée"
"01053";"Monument du général Joubert";"1932";"propriété de la commune"
"01053";"Maison";"1983";"propriété privée"
"01053";"Maison";"1977";"propriété privée"
"01053";"Maison";"1942";"propriété de la commune"
"01053";"Maison de bois";"1940";"propriété privée"
"01053";"Théâtre";"1975";"propriété de la commune"
"01053";"Hôtel particulier, dit hôtel de Loras";"2009";"propriété privée"
"01053";"Maison";"1947";"propriété privée"
"01053";"Ancienne abbaye de Brou";"1862";"propriété de l'Etat ; propriété de la commune"
"01053";"Chapelle Sainte-Madeleine";"2013";"propriété du département"
"01053";"Monument aux morts";"2019";"propriété de la commune"
"01053";"Maison";"1947";"propriété privée"
"01053";"Porte des Jacobins";"1927";"propriété privée"
"01053";"Immeuble";"1950";"propriété privée"
"01053";"Eglise Notre-Dame";"1914";"propriété de la commune"
"01053";"Immeuble";"1947";"propriété privée"
"01053";"Château de Pennesuyt, dit aussi château de Loëze";"1987";"propriété privée"
"01053";"Collège des Jésuites (ancien)";"1950";"propriété de la commune"
"01053";"Maison";"1947";"propriété privée"
"01053";"Statue de Bichat";"2016";"propriété de la commune"
"01053";"Maison";"1947";"propriété privée"
"01053";"Maison";"1947";"propriété privée"
"01053";"Hôtel de ville";"1932";"propriété de la commune"
"01053";"Maison à pans de bois";"1927";"propriété privée"
"01053";"Maison";"1947";"propriété privée"
"01053";"Préfecture (ancienne)";"1947";"propriété de la commune"
"01053";"Hôtel particulier";"1947";"propriété d'une société privée"
"01053";"Maison";"1947";"propriété privée"
"01053";"Le Café français";"2010";"propriété privée"
"01053";"Hôpital";"1947";"propriété de la commune"
"01053";"Hôtel de la Teyssonnière (ancien Hôtel de la Gabelle)";"1947";"propriété de l'Etat"
"01053";"Immeuble";"2017";"propriété privée"
"01053";"Immeuble";"1943";"propriété de la commune"
"01056";"Chapelle de Châtillon-de-Cornelle";"1986";"propriété de la commune"
"01056";"Eglise";"1926";"propriété de la commune"
"01058";"Abri sous roche dit Grotte préhistorique de Lievrin";"1913";"propriété de la commune"
"01064";"Aqueduc romain";"1904";"propriété de la commune ; propriété privée"
"01064";"Inscriptions mérovingiennes du château de Saint-André";"1862";"propriété privée"
"01065";"Eglise";"1926";"propriété de la commune"
"01067";"Eglise d'Etables";"1943";"propriété de la commune"
"01068";"Maison """"dite château d'Epierre"""" ou cellier d'Epierre, dépendant de l'ancienne chartreuse de Meyriat";"2005";"propriété d'une société privée"
"01068";"Cuivrerie de Cerdon";"2013";"propriété d'une société privée"
"01068";"Maison";"1950";"propriété privée"
"01068";"Moulin à farine situé sur le cours de la rivière dénommée La Suisse";"2015";"propriété privée"
"01069";"Château de Genoud";"2006";"propriété privée"
"01074";"Maison";"1927";"propriété privée"
"01074";"Maison à pan de bois";"1927";"propriété privée"
"01074";"Maison";"1927";"propriété privée"
"01081";"Borne frontière, appelée Borne au Lion";"1926";"propriété privée"
"01082";"Château de la Dorches (restes)";"1927";"propriété privée"
"01084";"Château";"1987";"propriété privée"
"01085";"Chapelle de Beaumont";"1979";"propriété de la commune"
"01088";"Eglise";"1925";"propriété de la commune"
"01092";"Eglise";"1966";"propriété de la commune"
"01093";"Hospice";"1982";"propriété de la commune"
"01093";"Porte de Villars";"1926";"propriété privée"
"01093";"Château (ancien)";"1927";"propriété de la commune"
"01093";"Eglise";"1909";"propriété de la commune"
"01093";"Halles";"1988";"propriété de la commune"
"01094";"Château de Mareste";"1969";"propriété privée"
"01095";"Maison du 16e siècle";"1947";"propriété privée"
"01095";"Eglise";"1946";"propriété de la commune"
"01096";"Eglise Saint-Jean-Baptiste";"1947";"propriété de la commune"
"01098";"Donjon du Temple (vestiges)";"1973";"propriété d'une personne privée"
"01098";"Maison Brillat";"1927";"propriété privée"
"01099";"Château";"1987";"propriété d'un établissement public"
"01100";"Château des Eclaz";"1988";"propriété privée"
"01102";"Ferme";"1925";"propriété privée"
"01102";"Ferme du Mont";"1980";"propriété privée"
"01104";"Borne frontière";"1926";"propriété privée"
"01107";"Eglise";"1969";"propriété de la commune"
"01108";"Eglise";"1984";"propriété de la commune"
"01108";"Moulin de Pertuizet";NA;NA
"01113";"Eglise Saint-Julien";"1927";"propriété de la commune"
"01115";"Château de Loriol";"1994";"propriété privée"
"01116";"Camp préhistorique des Portes";"1913";"propriété de la commune"
"01117";"Eglise Saint-Sébastien";"1908";"propriété de la commune"
"01125";"Eglise de Saint-Maurice d'Echazeaux";"1941";"propriété de la commune"
"01128";"Ferme de la Forêt (ensemble)";"1930";"propriété privée"
"01129";"Eglise Notre-Dame";"1926";"propriété de la commune"
"01134";"Abbaye (ancienne)";"1951";"propriété privée"
"01138";"Gare";"2009";"propriété d'un établissement public de l'Etat"
"01138";"Château de Montveran";"1946";"propriété privée"
"01139";"Manoir de Malmont";"1990";"propriété privée"
"01140";"Calvaire";"1933";"propriété de la commune"
"01143";"Ancienne villa Beaulieu";"1994";"propriété privée"
"01148";"Château de Dortan";"1997";"propriété privée"
"01157";"Château de Fléchères";"1985";"propriété privée"
"01159";"Croix de chemin";"1927";"propriété de la commune"
"01160";"Fontaine";"1988";"propriété de la commune"
"01160";"Eglise Notre-Dame-de-l'Assomption";"1988";"propriété de la commune"
"01160";"Maison de Loes";"1988";"propriété privée"
"01160";"Maison";"1986";"propriété privée"
"01160";"Château de Voltaire";"1958";"propriété de l'Etat"
"01162";"Eglise Saint-Maurice";"1969";"propriété de la commune"
"01162";"Sainte-Fontaine";"1926";"propriété de la commune"
"01163";"Ferme du Tiret";"1925";"propriété privée"
"01165";"Eglise";"1969";"propriété de la commune"
"01166";"Eglise Saint-Etienne";"2008";"propriété de la commune"
"01169";"Château de Chavagneux";"1942";"propriété privée"
"01173";"Fontaine";"1929";"propriété de la commune"
"01173";"Lavoir";"1929";"propriété de la commune"
"01179";"Pont des Laboureurs";"2020";"propriété privée"
"01180";"Château";"1987";"propriété privée"
"01183";"Ancien relais de poste";"2016";"propriété privée"
"01184";"Donjon de Buenc (ruines)";"1974";"propriété privée"
"01188";"Eglise Saint-Symphorien";"2008";"propriété de la commune"
"01192";"Ruines du temple romain";"1840";"propriété de la commune"
"01192";"Eglise";"1926";"propriété de la commune"
"01193";"Maison dite des Enfants d'Izieu, ou maison d'Izieu, mémorial des enfants juifs exterminés";"1991";"propriété d'une association"
"01194";"Eglise Notre-Dame de l'Assomption";"1996";"propriété de la commune"
"01194";"Manoir de la Rigaudière";"1996";"propriété privée"
"01195";"Habitat du premier âge féodal (vestiges)";"1984";"propriété privée"
"01195";"Château (restes)";"1927";"propriété privée"
"01198";"Domaine du château de Joyeux";"2009";"propriété privée"
"01199";"Pigeonnier (ancien) dit Tour de Cossieux";"1984";"propriété d'une société privée"
"01199";"Anciens établissements C.J. Bonnet";"2003";"propriété de la commune ; propriété d'un établissement public communal"
"01199";"Château de la Tour-des-Echelles";"1949";"propriété privée"
"01202";"Château de Montferrand";"1990";"propriété privée"
"01208";"Maison Gallet";"1933";"propriété privée"
"01211";"Maison à pans de bois";"1937";"propriété privée"
"01216";"Eglise";"1930";"propriété de la commune"
"01227";"Pierre à cupules";"1920";"propriété de la commune"
"01228";"Chapelle Sainte-Claire ou des Rochers";"1931";"propriété privée"
"01240";"Château de Coiselet";"1983";"propriété privée"
"01241";"Château de Meillonnas";"2007";"propriété de la commune ; propriété privée"
"01241";"Eglise Saint-Oyen";"2002";"propriété de la commune"
"01243";"Château de Montbriand";"1989";"propriété privée"
"01247";"Zone autour de la table d'orientation de Montrond";"1936";NA
"01249";"Vierge du Mas-Rillier";"2020";"propriété de la commune"
"01249";"Calvaire-fontaine";"1929";"propriété d'une société privée"
"01249";"Eglise Saint-Martin (ancienne)";"1928";"propriété de la commune"
"01249";"Carillon du Mas Rillier";"1993";"propriété de la commune"
"01252";"Calvaire";"1991";"propriété de la commune"
"01254";"Château de Montplaisant";"1981";"propriété privée"
"01258";"Château de la Batie";"2006";"propriété privée"
"01260";"Ensemble castral du Montellier";"2003";"propriété privée"
"01261";"Eglise";"1979";"propriété de la commune"
"01262";"Chapelle Saint-Barthélémy";"1930";"propriété de la commune"
"01262";"Maison";"1982";"propriété privée"
"01262";"Hôtel de Condé (ancien)";"1981";"propriété privée"
"01262";"Maison";"1975";"propriété privée"
"01262";"Eglise Notre-Dame-des-Marais";"1982";"propriété de la commune"
"01262";"Grand moulin de Montluel dit """" Moulin Girard """"";NA;"propriété d'une société privée"
"01264";"Eglise";"1927";"propriété de la commune"
"01266";"Ferme de Sougey";"1946";"propriété privée"
"01266";"Manoir de la Charme";"1987";"propriété privée"
"01267";"Chapelle de Mornay";"1982";"propriété de la commune"
"01268";"Abri sous roche dit Grotte préhistorique de la Bonne-Femme";"1913";"propriété de la commune"
"01269";"Eglise Saint-Michel";"1907";"propriété de la commune"
"01272";"Maison dite le chapître ou ancien château de Chevigney";"1980";"propriété privée"
"01273";"Abri sous roche de la Colombière";"1946";"propriété privée"
"01273";"Château de Thol (restes)";"1927";"propriété privée"
"01273";"Château de la Tour";"2006";"propriété d'une société privée"
"01281";"Maison haute dite également Tour d'Ornex";"2014";"propriété privée"
