n,beta_0.0,beta_0.2,beta_0.4,beta_0.6,beta_0.8
1,0.00023986567522187575,0.0098492074516512,0.01802615957467375,0.02467993444601781,0.029569540295785138
2,0.0004797313504437515,0.014257344105469406,0.026037385837286868,0.03588000287174338,0.04324536814285723
3,0.0007195970256656273,0.01857897393662117,0.03383306878627136,0.046359575638496575,0.05601857931060847
4,0.000959462700887503,0.022566304412300446,0.041284213762082744,0.05665242370905475,0.06764391598119732
5,0.0011993283761093788,0.025068966684600746,0.04594750961297338,0.0634169052559691,0.07650820679672915
6,0.0014391940513312545,0.027463628314433285,0.05032236685037776,0.06955019945404163,0.08407027893702532
7,0.0016790597265531303,0.029523227686356478,0.05389142716203815,0.07493288050539151,0.0915864588518204
8,0.001918925401775006,0.03136212296993527,0.05737279164054076,0.07964397675351859,0.09722453516573734
9,0.0021587910769968817,0.033160699859531885,0.060647842552286994,0.08420395804623469,0.10269747881740167
10,0.0023986567522187576,0.034933699616959225,0.06390113281102419,0.08871110813308931,0.10806559703240332
11,0.0026385224274406336,0.036483147461484566,0.0665070333337207,0.09226168358876574,0.11242812782540021
12,0.0028783881026625095,0.03799863090334089,0.06903980038436214,0.09562149582566014,0.11647389395034714
13,0.0031182537778843855,0.03950284920518279,0.07155530829657507,0.09887484062895056,0.12040813893098817
14,0.0033581194531062614,0.040912492650598424,0.074020300275561,0.10196212957949295,0.12433301586144026
15,0.0035979851283281373,0.04216071979669483,0.07615698970230787,0.10503984098289071,0.128142706347024
16,0.0038378508035500133,0.04337202311087945,0.07823164551297823,0.10799202204747074,0.13190571494220726
17,0.004077716478771889,0.044562832054452904,0.08030301833947504,0.11087753518868831,0.13561611144012078
18,0.004317582153993764,0.04573136705553527,0.08235663728538098,0.11364335024832763,0.13926710712919793
19,0.00455744782921564,0.046842540023755166,0.08436128979107907,0.11639211285276546,0.14279334876778008
20,0.004797313504437515,0.04793990864922512,0.08626871429421631,0.11913358819400174,0.1462607184332119
21,0.005037179179659391,0.04902509744711728,0.08811344386843403,0.12185550186945972,0.14971766950065987
22,0.005277044854881266,0.05009477304192354,0.08991156997544486,0.12457447732525194,0.15316704561547037
23,0.005516910530103142,0.051107637947126694,0.0916896700075816,0.12725107311020517,0.15656230296650542
24,0.005756776205325017,0.0521035485697448,0.09345714747693076,0.129741785083397,0.15990581196801582
25,0.005996641880546893,0.05308432762652309,0.09522237958614241,0.1321977614563809,0.16323443420955072
26,0.006236507555768768,0.05406296873196668,0.09694241323186215,0.1346395303142771,0.1665591166742686
27,0.006476373230990644,0.055035140733771255,0.09863946886844144,0.13703044070009063,0.1698583907143716
28,0.006716238906212519,0.0559930040049959,0.10029833430723474,0.13939614970440717,0.17314273655164164
29,0.006956104581434395,0.056947229327913775,0.10192559332099226,0.14172903661752115,0.1764224402458442
30,0.00719597025665627,0.05788596480404277,0.10351655302777128,0.1440112811524204,0.17947273969615535
31,0.007435835931878146,0.05882360962574065,0.10508887252287583,0.14624362351771775,0.18235322354239775
32,0.007675701607100021,0.059755822174625134,0.10664153249042789,0.14847393930193112,0.18515204582677253
33,0.007915567282321897,0.060666915983169006,0.10817585226594258,0.15058795129985333,0.1878763019963908
34,0.008155432957543772,0.06156830916494817,0.10968613750918818,0.15270052449815077,0.19059867968442631
35,0.008395298632765648,0.06240587918829895,0.11115545464805945,0.1547938485758386,0.1932611980023046
36,0.008635164307987523,0.06322866122235171,0.11262275092477514,0.156882042657178,0.1959070339976691
37,0.008875029983209399,0.06402955343793798,0.11402899676107882,0.15891867381439437,0.19855031735671458
38,0.009114895658431274,0.06482861334879936,0.11543149196386462,0.16091932795355032,0.2011217134869914
39,0.00935476133365315,0.06562385386736867,0.1168105224552972,0.16289929738827189,0.20363882197784897
40,0.009594627008875025,0.06640382141685816,0.1181714996475015,0.16486254961182545,0.20612357469220172
41,0.009834492684096901,0.06717357824441145,0.11948830806684038,0.1668127404295935,0.20859379118756208
42,0.010074358359318776,0.06792608581096857,0.12079710544694076,0.16875954381133373,0.21096222160867517
43,0.010314224034540652,0.06867720006560055,0.12210131155524157,0.1706311049543875,0.21331898475794203
44,0.010554089709762527,0.06942475472211121,0.12339312514820375,0.17242595695506113,0.21566939343277233
45,0.010793955384984403,0.0701633273581592,0.12466247191008804,0.17415680949563972,0.21800601613697224
46,0.011033821060206278,0.07089899915613747,0.12591993542859137,0.17588595156419506,0.22027630412397056
47,0.011273686735428154,0.0716303407253906,0.12714940679802678,0.17758176942571738,0.22253129939431215
48,0.01151355241065003,0.07235601738423146,0.12837087033067293,0.1792717475474857,0.224782274322248
49,0.011753418085871905,0.07307955936470414,0.12956962218689289,0.1809570933564396,0.22696831482850163
50,0.01199328376109378,0.0738011479187249,0.1307645578476871,0.18262905267074914,0.22914170444928347
51,0.012233149436315656,0.07451554514731255,0.13194379912448218,0.1842996969396298,0.23128793082298302
52,0.012473015111537531,0.07522213254168965,0.1331222419907345,0.1858956910064471,0.23343247570514225
53,0.012712880786759407,0.07592584980420418,0.13426351706890502,0.18748218465932173,0.23557425951384056
54,0.012952746461981282,0.07662884928434038,0.13538044410262676,0.1890581714420079,0.23771066964776524
55,0.013192612137203158,0.0772713988021737,0.13648855967880594,0.19061331469350762,0.23982722567300452
56,0.013432477812425033,0.07790553758697794,0.13756141559352325,0.1921600467777346,0.24184634431379534
57,0.013672343487646909,0.07853106522301079,0.13862672880538884,0.1937059724661977,0.24385951543649592
58,0.013912209162868784,0.07915068360518994,0.13969122510810145,0.19524952339699225,0.2458626617608029
59,0.01415207483809066,0.07976828839211536,0.1407027352918598,0.19669704670341617,0.2478371680044723
60,0.014391940513312535,0.0803844344154637,0.1417119747987098,0.19813932778118384,0.24978076251717218
61,0.014631806188534411,0.08099834704449985,0.14268242211630244,0.19957471034499746,0.25171705189379
62,0.014871671863756286,0.08161132638092108,0.1436517477202822,0.20099060747644418,0.253645721013862
63,0.015111537538978162,0.08222281724207259,0.1446094627288898,0.20234899656486444,0.2555564510716874
64,0.015351403214200037,0.08282812611582543,0.14555943933932478,0.20369818315338162,0.2574585559762745
65,0.015591268889421913,0.08342063532694603,0.14650535060252257,0.20504183827933786,0.25935241228082606
66,0.01583113456464379,0.08401234188046229,0.1474398211747631,0.2063746780511584,0.2612432415149646
67,0.016071000239865667,0.08460374137526168,0.14837254371563854,0.20768747153291917,0.2631143684727062
68,0.016310865915087545,0.08519437731909042,0.14930480380997516,0.20899440266884434,0.2649244696756564
69,0.016550731590309422,0.08578446714478495,0.15022889413767665,0.21029536865135026,0.2667334720941194
70,0.0167905972655313,0.08637437046016844,0.15115184684662164,0.2115877962234607,0.2685329358791456
71,0.017030462940753176,0.0869624483220187,0.15206718709508524,0.2128711095887708,0.27031503304321475
72,0.017270328615975054,0.08753887860525637,0.15297196801503504,0.21415410634097112,0.27209180815381856
73,0.01751019429119693,0.08811244793810949,0.15387584011607588,0.21542870171844763,0.27385237520794686
74,0.017750059966418808,0.08868410837881478,0.15477955302111077,0.21670143552656215,0.2756076965002341
75,0.017989925641640685,0.08924373395562335,0.15567914164111046,0.2179672817857253,0.27736095631706925
76,0.018229791316862563,0.08980148163910093,0.15657363815038897,0.21922789653227537,0.2790898707285403
77,0.01846965699208444,0.09035272923975744,0.15746563354373677,0.22048724062711586,0.2807765403170948
78,0.018709522667306317,0.09090173215637774,0.15835638772779279,0.22174634563645976,0.28244779213913856
79,0.018949388342528194,0.09144794187977076,0.1592156651018325,0.22300480208395504,0.28411532710297815
80,0.01918925401775007,0.09198619276991674,0.16007466052734765,0.22426146779228776,0.2857809356178594
81,0.01942911969297195,0.09252435166223998,0.16093114060525657,0.22550069406622852,0.2874219569360442
82,0.019668985368193826,0.09306037329392793,0.1617825383588215,0.22672266562334353,0.28905904803739657
83,0.019908851043415703,0.09359336369273241,0.16263331342069123,0.2279400143847583,0.2906918982288549
84,0.02014871671863758,0.09411710704057266,0.16348382871237963,0.22915474666011165,0.2923230920440065
85,0.020388582393859458,0.09463294772011313,0.16433059834059713,0.23035709559853326,0.2939409638604852
86,0.020628448069081335,0.0951472518724618,0.16516653590960553,0.23155585561764705,0.29555117148799936
87,0.020868313744303212,0.09566128596340545,0.16600083583966532,0.23274765024128447,0.2971330395393627
88,0.02110817941952509,0.09617296941279661,0.16682750869122573,0.23392157506729105,0.29871072805314275
89,0.021348045094746967,0.09668419427417137,0.1676484233453143,0.23508626291820733,0.300245691121433
90,0.021587910769968844,0.09718561101790389,0.16846797332278138,0.23624047566645523,0.3017033539577831
91,0.02182777644519072,0.09768634573687268,0.16928510837537533,0.23739272602330674,0.30312213179304764
92,0.0220676421204126,0.09818684202856111,0.17010010169893788,0.23853077756822563,0.30453224283269875
