Libellé Gare	Voyageurs	Commune	Département	coordonnees_geographiques
Messac-Guipry	O	Messac	Ille-et-Vilaine	"47.8223131529,-1.81855289434"
Vern	O	Vern-sur-Seiche	Ille-et-Vilaine	"48.0469746653,-1.59659093513"
Quimperlé	O	Quimperlé	Finistère	"47.8693099943,-3.55298895132"
Hanvec	N	Hanvec	Finistère	"48.3414353627,-4.13537853007"
Questembert	O	Questembert	Morbihan	"47.6831853035,-2.44962095353"
Ste-Anne	O	Pluneret	Morbihan	"47.6785052299,-2.96058097337"
St-Méen	N	St-Méen-le-Grand	Ille-et-Vilaine	"48.1876390862,-2.18329589373"
Auray	O	Auray	Morbihan	"47.6802456134,-2.9995954826"
Belz-Ploemel	O	Ploemel	Morbihan	"47.6525485978,-3.07222607167"
Quintin	O	St-Brandan	Côte-d'Armor	"48.3973523673,-2.89170084464"
Loudéac	O	Loudéac	Côte-d'Armor	"48.180226144,-2.76307689577"
Pont-Melvez	O	Pont-Melvez	Côte-d'Armor	"48.4701231316,-3.31137298535"
Callac	O	Callac	Côte-d'Armor	"48.4068275395,-3.41854848919"
Carhaix	O	Carhaix-Plouguer	Finistère	"48.2764597406,-3.56391692966"
Traou-Nez	O	Plourivo	Côte-d'Armor	"48.7485550462,-3.13515525827"
Loulay	O	Loulay	Charente-Maritime	"46.0434412373,-0.501680469999"
St-Jean-d'Angély	O	St-Jean-d'Angély	Charente-Maritime	"45.9408017047,-0.509745268752"
Saintes	O	Saintes	Charente-Maritime	"45.7478403558,-0.617587884553"
Jonzac	O	Jonzac	Charente-Maritime	"45.4386871737,-0.441990254204"
Airvault-Gare	N	Airvault	Deux-Sèvres	"46.807104203,-0.145378054098"
Parthenay	N	Parthenay	Deux-Sèvres	"46.6469941565,-0.239423232472"
Mazières-Verruyes	N	Verruyes	Deux-Sèvres	"46.5330478826,-0.307881680396"
Champdeniers-St-Christophe	N	St-Christophe-sur-Roc	Deux-Sèvres	"46.4653306739,-0.36903957353"
Prissé-la-Charrière	O	Prissé-la-Charrière	Deux-Sèvres	"46.1527706799,-0.493503377731"
Illiers-Combray	O	Illiers-Combray	Eure-et-Loir	"48.3042392383,1.24499173842"
La Taye	O	St-Georges-sur-Eure	Eure-et-Loir	"48.4079057147,1.37368070102"
Ste-Eulalie-Carbon-Blanc	O	Ste-Eulalie	Gironde	"44.8980062828,-0.493677732169"
Saumur-Rive-Droite	O	Saumur	Maine-et-Loire	"47.2687564345,-0.071321759051"
Bazouges	N	Bazouges-sur-le-Loir	Sarthe	"47.6915421995,-0.167440574691"
St-Genouph	O	St-Genouph	Indre-et-Loire	"47.3709251339,0.597070467977"
Port-Boulet	O	Chouzé-sur-Loire	Indre-et-Loire	"47.2486602754,0.155650519668"
Ste-Luce	N	Ste-Luce-sur-Loire	Loire-Atlantique	"47.2486903246,-1.46805394741"
St-Étienne-de-Montluc	O	St-Étienne-de-Montluc	Loire-Atlantique	"47.2747434728,-1.78582059254"
Cordemais	O	Cordemais	Loire-Atlantique	"47.3021881165,-1.84640286893"
Savenay	O	Savenay	Loire-Atlantique	"47.3583982415,-1.95107747612"
Penhoët	O	St-Nazaire	Loire-Atlantique	"47.2904701301,-2.20078550539"
St-Mathurin	O	St-Mathurin-sur-Loire	Maine-et-Loire	"47.4122184179,-0.31808566951"
La Bohalle	O	La Bohalle	Maine-et-Loire	"47.4344399269,-0.400795047271"
La Pointe-Bouchemaine	N	Bouchemaine	Maine-et-Loire	"47.417094376,-0.617585830701"
La Possonnière	O	La Possonnière	Maine-et-Loire	"47.3710368136,-0.694762357134"
Babinière	O	La Chapelle-sur-Erdre	Loire-Atlantique	"47.2588586119,-1.54493061098"
La Chapelle-sur-Erdre	N	La Chapelle-sur-Erdre	Loire-Atlantique	"47.2957462621,-1.54842756372"
Nueil-Les Aubiers	N	Nueil-les-Aubiers	Deux-Sèvres	"46.9408915688,-0.592792242937"
Bressuire	O	Bressuire	Deux-Sèvres	"46.8381717507,-0.496368796937"
Benet	N	Benet	Vendée	"46.3740546877,-0.58218463528"
Parthenay	N	Parthenay	Deux-Sèvres	"46.6469941565,-0.239423232472"
Clessé	N	Clessé	Deux-Sèvres	"46.7136881695,-0.422983764992"
Bressuire	O	Bressuire	Deux-Sèvres	"46.8381717507,-0.496368796937"
Noirterre	O	Bressuire	Deux-Sèvres	"46.8697783763,-0.394017394738"
La Roche-Clermault	N	La Roche-Clermault	Indre-et-Loire	"47.1394863991,0.194854583104"
Joué-lès-Tours	O	Joué-lès-Tours	Indre-et-Loire	"47.3544687381,0.665780709585"
Les Sables-d'Olonne	O	Les Sables-d'Olonne	Vendée	"46.5001805585,-1.78163334297"
Fougeré	O	Fougeré	Vendée	"46.6650801219,-1.23123896964"
Bournezeau	O	Bournezeau	Vendée	"46.6514888449,-1.17761106004"
Sigournais	O	Chantonnay	Vendée	"46.6911769373,-0.973090764337"
Clisson	O	Clisson	Loire-Atlantique	"47.0859973475,-1.28640768138"
Cugand-la-Bernardière	O	Cugand	Vendée	"47.0583036279,-1.25346016164"
Nieul-Oulmes	N	Oulmes	Vendée	"46.4094773205,-0.678604587401"
Le Pallet	O	Le Pallet	Loire-Atlantique	"47.1438156022,-1.34663667076"
Luçon	O	Luçon	Vendée	"46.463723759,-1.16742522765"
L'Herbergement-Les Brouzils	O	L'Herbergement	Vendée	"46.9069019946,-1.37115013183"
Nantilly-Saumur	N	Saumur	Maine-et-Loire	"47.2372761555,-0.0729424334864"
Port-St-Père-St-Mars	O	Port-St-Père	Loire-Atlantique	"47.1161940757,-1.73969906586"
Ste-Pazanne	O	Ste-Pazanne	Loire-Atlantique	"47.102436868,-1.81787517251"
La Crèche	O	La Crèche	Deux-Sèvres	"46.3605230133,-0.296227383611"
Lusignan	O	Cloué	Vienne	"46.4355402787,0.116562175619"
La Rochelle-Ville	O	La Rochelle	Charente-Maritime	"46.1525160774,-1.14516012344"
St-Jean-d'Angély	O	St-Jean-d'Angély	Charente-Maritime	"45.9408017047,-0.509745268752"
Taillebourg	O	Taillebourg	Charente-Maritime	"45.8301674473,-0.64442655933"
Saujon	O	Saujon	Charente-Maritime	"45.6669603985,-0.930419852089"
Gémozac	N	Gémozac	Charente-Maritime	"45.5735296513,-0.673625132636"
St-André-de-Lidon	N	St-André-de-Lidon	Charente-Maritime	"45.5978404986,-0.751508305872"
Cozes	N	Cozes	Charente-Maritime	"45.5864450895,-0.832959287286"
St-Savin-de-Blaye	N	St-Savin	Gironde	"45.146166897,-0.437396350165"
Breuillet-Bruyères-le-Châtel	O	Breuillet	Essonne	"48.5772547463,2.19161067974"
St-Chéron	O	St-Chéron	Essonne	"48.5510919091,2.12573556543"
Sermaise	O	Sermaise	Essonne	"48.5354702855,2.06871155564"
Auneau	O	Roinville	Eure-et-Loir	"48.4324552658,1.76848870909"
Voves	O	Voves	Eure-et-Loir	"48.2752635802,1.62221391267"
Château-Renault	O	Château-Renault	Indre-et-Loire	"47.5878327414,0.901441463695"
Chartres	O	Chartres	Eure-et-Loir	"48.4486697149,1.48142905416"
Chartres	O	Chartres	Eure-et-Loir	"48.4486697149,1.48142905416"
Orgères	N	Orgères-en-Beauce	Eure-et-Loir	"48.1457437436,1.67921480773"
Patay	N	Patay	Loiret	"48.0494149913,1.69993751079"
Courtalain-St-Pellerin	O	Courtalain	Eure-et-Loir	"48.0735645355,1.12682972788"
Vendôme	O	Vendôme	Loir-et-Cher	"47.802659905,1.07144326189"
Villetrun-Coulommiers	N	Coulommiers-la-Tour	Loir-et-Cher	"47.7854670652,1.14573954498"
Vaas	O	Vaas	Sarthe	"47.6708541414,0.316591783473"
Mayet	O	Mayet	Sarthe	"47.7600852376,0.265937533069"
Écommoy	O	Écommoy	Sarthe	"47.8245164906,0.269004604555"
Laigné-St-Gervais	O	St-Gervais-en-Belin	Sarthe	"47.8740863029,0.21711697645"
Charmant	N	Charmant	Charente	"45.4986154658,0.162308672028"
Juvisy	O	Juvisy-sur-Orge	Essonne	"48.6898003395,2.38241353288"
Épinay-sur-Orge	O	Épinay-sur-Orge	Essonne	"48.6693316653,2.33195988244"
Ste-Geneviève-des-Bois	O	Ste-Geneviève-des-Bois	Essonne	"48.6531136791,2.31329508156"
Étréchy	O	Étréchy	Essonne	"48.493646549,2.19461724531"
St-Denis-de-Pile	O	St-Denis-de-Pile	Gironde	"44.9785087634,-0.197951644675"
Vayres	O	Vayres	Gironde	"44.8966208173,-0.316121574987"
La Gorp	O	Ambarès-et-Lagrave	Gironde	"44.92874553,-0.496373256254"
